0.0004	0.0005	0	0.0136	0.0015	1437397200000
0.0005	0.0017	0.0032	0.0102	0.0015	1437382800000
0.0006	0.0016	0.0044	0.0088	0.0015	1437374576000
0.0006	0.0018	0.0062	0.0131	0.0362	1437372367000
0.0005	0.0015	0.0041	0.0105	0.0033	1437368010000
0.0006	0.0019	0.0063	0.0138	0.034	1437363971000
0.0099	0.0105	0.05	0.1011	0.0402	1437358981000
0.0005	0.0014	0.0045	0.0118	0.0007	1437355800000
0.0003	0.0005	0	0.014	0.0006	1437352262000
0.0005	0.0013	0.004	0.0105	0.0008	1437341400000
0.0005	0.0013	0.004	0.0105	0.0008	1437327000000
0.0004	0.0014	0.0036	0.0112	0.0008	1437312600000
0.0003	0.0004	0	0.0149	0.001	1437298200000
0.0003	0.0015	0.0039	0.0117	0.0009	1437283800000
0.0004	0.0014	0.0037	0.0118	0.0006	1437269400000
0.0003	0.0005	0	0.0138	0.0008	1437255000000
0.0004	0.0015	0.0021	0.0114	0.0007	1437240600000
0.0004	0.0015	0.0021	0.0114	0.0011	1437226200000
0.0006	0.0015	0.0017	0.0117	0.0009	1437211800000
0.0006	0.0016	0.0033	0.0105	0.0013	1437201430000
0.0006	0.0016	0.0018	0.0122	0.0012	1437197400000
0.0005	0.0004	0	0.0167	0.0014	1437191385000
0.0005	0.0017	0.0043	0.0119	0.001	1437182130000
0.0004	0.0013	0.0036	0.0136	0.0016	1437167730000
0.0002	0.0005	0	0.0118	0.0011	1437153330000
0.0001	0.0023	0	0.0082	0.0012	1437138930000
0.0001	0.0023	0	0.0082	0.0012	1437124530000
0.0006	0.0023	0	0.0082	0.0013	1437113222000
0.0000S	0.0000S	0.0000S	0.0000S	0.0013	1437110130000
0.0004	0.0021	0	0.01	0.0011	1437095730000
0.0004	0.0019	0	0.011	0.0014	1437081330000
0.0003	0.0018	0	0.0108	0.0014	1437066930000
0.0003	0.0018	0	0.0103	0.0013	1437052530000
0.0004	0.0017	0	0.0105	0.0014	1437038130000
0.0008	0.0019	0	0.0114	0.0016	1437023730000
0	0.0017	0	0.0094	0.0014	1437012932000
0	0.0017	0	0.0094	0.0015	1437009330000
0	0.0018	0	0.0094	0.0016	1436994930000
0	0.0017	0	0.0092	0.0015	1436980530000
0	0.0018	0	0.0101	0.0017	1436966130000
0	0.0019	0	0.0112	0.0019	1436951730000
0.0001	0.002	0.0054	0.0148	0.003	1436937330000
0.0002	0.0018	0.002	0.0107	0.0016	1436922930000
0.0001	0.0016	0.0021	0.0105	0.0018	1436908530000
0.0001	0.0016	0.0019	0.0102	0.002	1436894130000
0.0001	0.0013	0.0018	0.0123	0.0016	1436879730000
0.0002	0.0004	0	0.0133	0.0016	1436865330000
0.0001	0.0016	0.0022	0.0106	0.0019	1436850930000
0.0001	0.0014	0.0025	0.0114	0.0019	1436836530000
0.0002	0.0006	0	0.0119	0.0023	1436822130000
0	0.003	0	0.0089	0.0019	1436807730000
0.0002	0.0028	0	0.0087	0.002	1436793330000
0.0002	0.0029	0	0.0097	0.0021	1436778930000
0.0098	0.0114	0.0478	0.0951	0.0022	1436764530000
0	0	0	0	0.002	1436762584000
0.0101	0.0115	0.0536	0.0952	0.049	1436760035000
0	0	0	0	0.0000Y4	1436759300000
0	0	0	0	0.0000YW	1436758606000
0	0	0	0	0.0000YW	1436758083000
0.0001	0.0007	0	0.0142	0.0000YW	1436750130000
0	0.0018	0.0051	0.0112	0.0000YW	1436735730000
0	0.0017	0.0049	0.0119	0.0000YW	1436721330000
0.0001	0.0016	0.0046	0.0127	0.0000YW	1436706930000
0.0002	0.0007	0	0.015	0.0023	1436692530000
0	0.0017	0.0039	0.0116	0.0024	1436678130000
0.0002	0.0016	0.0042	0.0124	0.0025	1436663730000
0.0001	0.0007	0	0.0144	0.0025	1436649330000
0	0.0018	0.0053	0.0119	0.0028	1436634930000
0.0001	0.0016	0.005	0.0124	0.0024	1436620530000
0.0001	0.0016	0.0048	0.0138	0.0027	1436606130000
0.0002	0.0007	0	0.0164	0.0026	1436591730000
0.0001	0.0018	0.0043	0.0133	0.0028	1436577330000
0.0001	0.0017	0.0042	0.0138	0.0027	1436562930000
0.0001	0.0007	0	0.0147	0.0025	1436548530000
0.0002	0.0018	0.0052	0.0131	0.0025	1436534130000
0	0.0017	0.0053	0.0133	0.0024	1436519730000
0	0.0014	0.0046	0.0133	0.0025	1436505330000
0	0.0006	0	0.0161	0.0023	1436490930000
0.0002	0.0017	0.0047	0.0122	0.0021	1436476530000
0	0.0016	0.0045	0.0127	0.0019	1436462130000
0.0001	0.0006	0	0.0143	0.0017	1436447730000
0.0001	0.0018	0.0049	0.0121	0.0019	1436433330000
0.0003	0.0017	0.0049	0.0124	0.0016	1436418930000
0.0003	0.0017	0.0048	0.0135	0.0019	1436404530000
0.0002	0.0006	0	0.0144	0.0018	1436390130000
0.0002	0.0018	0.0036	0.0115	0.0019	1436375730000
0.0001	0.0018	0.0016	0.0111	0.0016	1436361330000
0.0005	0.0016	0.0034	0.0114	0.0017	1436346930000
0.0001	0.0008	0	0.0139	0.0015	1436342830000
0.0001	0.0019	0.0049	0.0113	0.0016	1436329800000
0.0001	0.0018	0.0046	0.0115	0.0015	1436315400000
0	0.0019	0.0048	0.0107	0.0018	1436301000000
0.0002	0.0019	0.0056	0.011	0.0017	1436286600000
0.0002	0.0019	0.0052	0.0113	0.0017	1436281126000
0.0001	0.0018	0.0044	0.011	0.0016	1436272200000
0.0006	0.0019	0.006	0.0109	0.0017	1436257800000
0.0005	0.0018	0.0051	0.0112	0.0018	1436255164000
0.0005	0.0018	0.0054	0.0175	0.0017	1436250359000
0.0001	0.0006	0	0.0138	0.0014	1436243400000
0.0002	0.0018	0.0032	0.0115	0.0019	1436229000000
0.0002	0.0018	0.0031	0.0117	0.0018	1436214600000
0.0006	0.0019	0.0043	0.0119	0.0019	1436200200000
0	0.0007	0	0.0142	0.0017	1436197798000
0.0001	0.002	0.0061	0.0191	0.0015	1436184300000
0.0001	0.002	0.0061	0.0191	0.0024	1436169900000
0.0005	0.002	0.0058	0.0133	0.0015	1436155500000
0.0006	0.0021	0.0064	0.0135	0.0019	1436148497000
0.0097	0.011	0.0513	0.0964	0.028	1436146456000
0.0001	0.0007	0	0.0144	0.0017	1436141100000
0.0001	0.0017	0.0032	0.0116	0.0024	1436126700000
0.0001	0.0017	0.0028	0.0112	0.0026	1436112300000
0.0003	0.0018	0.0022	0.011	0.0024	1436097900000
0.0001	0.0008	0	0.0124	0.0033	1436089999000
0.0004	0.0022	0.0032	0.01	0.0025	1436083500000
0.0004	0.0022	0.0032	0.01	0.002	1436080737000
0	0.0016	0.0022	0.0116	0.0041	1436068800000
0	0.0017	0.0028	0.014	0.0053	1436054400000
0	0.0007	0	0.0136	0.0056	1436040000000
0	0.0037	0	0.0115	0.0052	1436025600000
0	0.0037	0	0.0126	0.0067	1436019483000
0	0.0035	0.0006	0.0157	0.0088	1436015766000
0	0.0033	0.0006	0.016	0.0049	1436011200000
0	0.0031	0.0016	0.016	0.0085	1436002120000
0	0.0028	0.001	0.015	0.0083	1435996800000
0.0000S	0.0000S	0.0000S	0.0000S	0.0108	1435982400000
0.0000S	0.0000S	0.0000S	0.0000S	0.0138	1435968000000
0.0000S	0.0000S	0	0.0000S	0.0023	1435953600000
0.0000S	0.0000S	0.0000S	0.0000S	0.0018	1435939200000
0.0000S	0.0000S	0	0	0.0019	1435924800000
0	0.0022	0.0043	0.0195	0.0018	1435919262000
0	0.0032	0.0039	0.0036	0.002	1435910400000
0	0.0032	0.0039	0.0036	0.0019	1435896000000
0	0	0	0	0.0022	1435892737000
0	0.0006	0.0008	0.0295	0.0022	1435890066000
0	0.0006	0.0008	0.0295	0.0013	1435880730000
0	0.0006	0.0008	0.0295	0.0012	1435866330000
0	0.0006	0.0008	0.0295	0.0012	1435851930000
0.0002	0.0014	0.0058	0.0213	0.0012	1435837530000
0.0001	0.0012	0.0055	0.0243	0.0012	1435833819000
0.0002	0.0013	0.0057	0.0246	0.0013	1435823970000
0	0	0.215	0.1211	0.0012	1435809570000
0.0074	0.0007	0	0.0078	0.0011	1435795170000
0.0304	0	0.0382	0.2483	0.0012	1435780770000
0.0001	0.0011	0.005	0.0276	0.0011	1435766370000
0.0021	0.0256	0.383	0	0.0014	1435751970000
0.0058	0.0347	0.0895	0.1181	0.0012	1435737570000
0.0116	0.0102	0.0662	0.0964	0.0015	1435731360000
0	0	0	0	0.0274	1435729064000
0	0	0	0	0.0245	1435725946000
0	0	0	0	0.0000Y4	1435723170000
0.0116	0.0102	0.0662	0.0964	0.0248	1435720552000
0	0	0	0	0.0245	1435718375000
0.0002	0.0012	0.0047	0.0228	0.0018	1435708770000
0.0001	0.0006	0.0011	0.0247	0.0018	1435694370000
0.0002	0.0013	0.005	0.0217	0.0017	1435679970000
0.0002	0.0011	0.0045	0.022	0.0018	1435665570000
0.0001	0.0005	0.0003	0.0243	0.0018	1435651170000
0.0002	0.0014	0.0058	0.018	0.0017	1435636770000
0.0002	0.0014	0.0056	0.0193	0.0019	1435633774000
0.0002	0.0013	0.0052	0.0219	0.0004	1435629601000
0.0002	0.0012	0.0048	0.0221	0.0006	1435618800000
0.0002	0.0012	0.0044	0.0225	0.0007	1435604400000
0	0.0005	0.0007	0.0239	0.0006	1435590000000
0.0002	0.0012	0.0055	0.0228	0.0007	1435575600000
0.0002	0.0012	0.005	0.0229	0.0007	1435561200000
0.0002	0.0006	0.0012	0.0258	0.0007	1435546800000
0.0002	0.0013	0.0049	0.0225	0.0006	1435532400000
0.0002	0.0013	0.0047	0.0223	0.0007	1435518000000
0.0002	0.0012	0.0041	0.0221	0.0008	1435503600000
0.0001	0.0005	0.0008	0.0248	0.0008	1435489200000
0.0002	0.0013	0.0058	0.0229	0.0008	1435474800000
0.0002	0.0012	0.006	0.0209	0.0009	1435460400000
0	0.0003	0.0055	0.0465	0.0008	1435455088000
0.0002	0.0014	0.0058	0.0226	0.0009	1435452675000
0.0002	0.0014	0.0058	0.0226	0.0009	1435447800000
0.0002	0.0014	0.0058	0.0226	0.0008	1435433400000
0.0002	0.0014	0.0058	0.0226	0.0008	1435419000000
0.0002	0.0014	0.0058	0.0226	0.001	1435404600000
0.0002	0.0014	0.0058	0.0226	0.001	1435390200000
0.0002	0.0014	0.0058	0.0226	0.001	1435375800000
0.0002	0.0014	0.0058	0.0226	0.001	1435361400000
